scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,100,83,1,16,0.91,0,1.74,2,125.97,235.29,1.06,0.01,0,0,5.15,0,7.2,23.56,0,0,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,100,0,82,18,0.09,0,1.87,2,240.06,124.2,0,1.04,0,0,0,4.97,23.84,7,0,0,0,0
B02_BREAK_N__VS__B05_SPELL_N,B02_BREAK_N,B05_SPELL_N,N,A_PLAYER,100,33,34,33,0.495,0,1.93,2,113.67,141.91,0.42,0.4,0,0,5.15,2,7.14,0,0,0,0,0
B05_SPELL_N__VS__B02_BREAK_N,B05_SPELL_N,B02_BREAK_N,N,B_PLAYER,100,37,23,40,0.57,0,1.96,2,145.09,116.02,0.53,0.27,0,0,2,5.11,0,7.1,0,0,0,0
B02_BREAK_N__VS__B06_REFRESH_N,B02_BREAK_N,B06_REFRESH_N,N,A_PLAYER,100,96,0,4,0.98,0,1.65,2,131,131.15,1.56,0,0,0,4.99,1,7.05,0,0,0,0,0
B06_REFRESH_N__VS__B02_BREAK_N,B06_REFRESH_N,B02_BREAK_N,N,B_PLAYER,100,0,97,3,0.015,0,1.93,2,124.59,123.7,0,1.46,0,0,1,5.01,0,7,0,0,0,0
B03_SUMMON_N__VS__B04_DEATH_N,B03_SUMMON_N,B04_DEATH_N,N,A_PLAYER,100,78,2,20,0.88,0,1,1,140.77,246.72,1.1,0.02,0,0,0,0,4,22.18,2.43,0,0,0
B04_DEATH_N__VS__B03_SUMMON_N,B04_DEATH_N,B03_SUMMON_N,N,B_PLAYER,100,0,76,24,0.12,0,1,1,274.79,144.84,0,1.01,0,0,0,0,23.84,4,0,2.57,0,0
B03_SUMMON_N__VS__B05_SPELL_N,B03_SUMMON_N,B05_SPELL_N,N,A_PLAYER,100,36,19,45,0.585,0,1.05,1,151.82,176.43,0.37,0.2,0,0,0,2,4,0,2.35,0,0,0
B05_SPELL_N__VS__B03_SUMMON_N,B05_SPELL_N,B03_SUMMON_N,N,B_PLAYER,100,24,37,39,0.435,0,1.03,1,179.42,150.67,0.25,0.39,0,0,2,0,0,3.26,0,2.34,0,0
B03_SUMMON_N__VS__B06_REFRESH_N,B03_SUMMON_N,B06_REFRESH_N,N,A_PLAYER,100,63,0,37,0.815,0,1.09,1,153.61,147.68,0.75,0,0,0,0,1,4,0,2.19,0,0,0
B06_REFRESH_N__VS__B03_SUMMON_N,B06_REFRESH_N,B03_SUMMON_N,N,B_PLAYER,100,0,50,50,0.25,0,1.09,1,151.15,155.28,0,0.57,0,0,1,0,0,3.6,0,2.32,0,0
B04_DEATH_N__VS__B05_SPELL_N,B04_DEATH_N,B05_SPELL_N,N,A_PLAYER,100,13,46,41,0.335,0,1.47,2,220.05,132.42,0.15,0.52,0,0,0,2,23.54,0,0,0,0,0
B05_SPELL_N__VS__B04_DEATH_N,B05_SPELL_N,B04_DEATH_N,N,B_PLAYER,100,43,15,42,0.64,0,1.4,2,135.4,215.72,0.48,0.15,0,0,2,0,0,22.83,0,0,0,0
B04_DEATH_N__VS__B06_REFRESH_N,B04_DEATH_N,B06_REFRESH_N,N,A_PLAYER,100,76,0,24,0.88,0,1.32,2,207.78,116.02,0.94,0,0,0,0,1,23.88,0,0,0,0,0
