scenario_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,build_id,development_level,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,p90_rounds,round_limit_count,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_wilderness:f1_late_summon:f1_c5_summon_encounter:B02_BREAK_F1_C5,Map,map_wilderness,荒野,1,f1_late_summon,Normal,5,,,,f1_c5_summon_encounter,狐巢回响,3,B02_BREAK,C5,100,98,1,1,0.98,0.985,0.929988,0.994498,1.14,2,0,0,0,3.03,0.02,0,5,5,0,0,0,0
Map:map_wilderness:f1_late_summon:f1_c5_summon_encounter:B03_SUMMON_F1_C5,Map,map_wilderness,荒野,1,f1_late_summon,Normal,5,,,,f1_c5_summon_encounter,狐巢回响,3,B03_SUMMON,C5,100,73,16,11,0.73,0.785,0.635679,0.807304,1.16,2,0,0,0,1.22,0.22,0,4.96,4.96,0,0,0,0
Map:map_wilderness:f1_late_summon:f1_c5_summon_encounter:B04_DEATH_F1_C5,Map,map_wilderness,荒野,1,f1_late_summon,Normal,5,,,,f1_c5_summon_encounter,狐巢回响,3,B04_DEATH,C5,100,100,0,0,1,1,0.963007,1,1.46,2,0,0,0,2.85,0,0,5,5,0,0,0,0
Map:map_wilderness:f1_late_summon:f1_c5_summon_encounter:B05_SPELL_F1_C5,Map,map_wilderness,荒野,1,f1_late_summon,Normal,5,,,,f1_c5_summon_encounter,狐巢回响,3,B05_SPELL,C5,100,100,0,0,1,1,0.963007,1,1.37,2,0,0,0,2.06,0,0,5,5,0,0,0,0
Map:map_wilderness:f1_late_summon:f1_c5_summon_encounter:B06_REFRESH_F1_C5,Map,map_wilderness,荒野,1,f1_late_summon,Normal,5,,,,f1_c5_summon_encounter,狐巢回响,3,B06_REFRESH,C5,100,94,1,5,0.94,0.965,0.875232,0.972214,1.28,2,0,0,0,1.72,0.01,0,5,5,0,0,0,0
Map:map_wilderness:f1_boss:f1_c6_boss_encounter:B01_SHIELD_F1_C5,Map,map_wilderness,荒野,1,f1_boss,Boss,6,,,,f1_c6_boss_encounter,万籁母巢,4,B01_SHIELD,C5,100,71,18,11,0.71,0.765,0.614611,0.789852,1.86,2,0,0,0,0.99,0.25,0,4.98,4.91,0,0,0,0
Map:map_wilderness:f1_boss:f1_c6_boss_encounter:B02_BREAK_F1_C5,Map,map_wilderness,荒野,1,f1_boss,Boss,6,,,,f1_c6_boss_encounter,万籁母巢,4,B02_BREAK,C5,100,97,1,2,0.97,0.98,0.915481,0.989745,1.34,2,0,0,0,2.57,0.01,0,5,4.9,0,0,0,0
Map:map_wilderness:f1_boss:f1_c6_boss_encounter:B03_SUMMON_F1_C5,Map,map_wilderness,荒野,1,f1_boss,Boss,6,,,,f1_c6_boss_encounter,万籁母巢,4,B03_SUMMON,C5,100,64,19,17,0.64,0.725,0.542354,0.727288,1.13,2,0,0,0,0.94,0.27,0,5,4.88,0,0,0,0
Map:map_wilderness:f1_boss:f1_c6_boss_encounter:B04_DEATH_F1_C5,Map,map_wilderness,荒野,1,f1_boss,Boss,6,,,,f1_c6_boss_encounter,万籁母巢,4,B04_DEATH,C5,100,100,0,0,1,1,0.963007,1,1.75,2,0,0,0,2.82,0,0,5,4.92,0,0,0,0
Map:map_wilderness:f1_boss:f1_c6_boss_encounter:B05_SPELL_F1_C5,Map,map_wilderness,荒野,1,f1_boss,Boss,6,,,,f1_c6_boss_encounter,万籁母巢,4,B05_SPELL,C5,100,86,5,9,0.86,0.905,0.778628,0.914737,1.64,2,0,0,0,1.32,0.09,0,4.96,4.81,0,0,0,0
Map:map_wilderness:f1_boss:f1_c6_boss_encounter:B06_REFRESH_F1_C5,Map,map_wilderness,荒野,1,f1_boss,Boss,6,,,,f1_c6_boss_encounter,万籁母巢,4,B06_REFRESH,C5,100,84,7,9,0.84,0.885,0.755797,0.899047,1.42,2,0,0,0,1.4,0.08,0,5,4.85,0,0,0,0
Map:map_startrail_highlands:f2_opening_normal:f2_opening_encounter:B01_SHIELD_F2_C2,Map,map_startrail_highlands,星轨高原,2,f2_opening_normal,Normal,1,,,,f2_opening_encounter,月相校准阵,2,B01_SHIELD,C2,100,100,0,0,1,1,0.963007,1,2,2,0,0,0,2.37,0,0,0,0,0,3,0,0
Map:map_startrail_highlands:f2_opening_normal:f2_opening_encounter:B02_BREAK_F2_C2,Map,map_startrail_highlands,星轨高原,2,f2_opening_normal,Normal,1,,,,f2_opening_encounter,月相校准阵,2,B02_BREAK,C2,100,100,0,0,1,1,0.963007,1,1.65,2,0,0,0,2.5,0,0,0,0,0,3,0,0
Map:map_startrail_highlands:f2_opening_normal:f2_opening_encounter:B03_SUMMON_F2_C2,Map,map_startrail_highlands,星轨高原,2,f2_opening_normal,Normal,1,,,,f2_opening_encounter,月相校准阵,2,B03_SUMMON,C2,100,74,9,17,0.74,0.825,0.64629,0.815953,1.92,2,0,0,0,1.26,0.09,0,0,0,0,3,0,0
Map:map_startrail_highlands:f2_opening_normal:f2_opening_encounter:B04_DEATH_F2_C2,Map,map_startrail_highlands,星轨高原,2,f2_opening_normal,Normal,1,,,,f2_opening_encounter,月相校准阵,2,B04_DEATH,C2,100,100,0,0,1,1,0.963007,1,1.99,2,0,0,0,2.09,0,0,0,0,0,3,0,0
Map:map_startrail_highlands:f2_opening_normal:f2_opening_encounter:B05_SPELL_F2_C2,Map,map_startrail_highlands,星轨高原,2,f2_opening_normal,Normal,1,,,,f2_opening_encounter,月相校准阵,2,B05_SPELL,C2,100,94,1,5,0.94,0.965,0.875232,0.972214,2.03,2,0,0,0,1.58,0.01,0,0,0,0,3,0,0
Map:map_startrail_highlands:f2_opening_normal:f2_opening_encounter:B06_REFRESH_F2_C2,Map,map_startrail_highlands,星轨高原,2,f2_opening_normal,Normal,1,,,,f2_opening_encounter,月相校准阵,2,B06_REFRESH,C2,100,100,0,0,1,1,0.963007,1,1.75,2,0,0,0,2.26,0,0,0,0,0,3,0,0
